date,indicator,value,period
20201120,원/유로 환율,1320.24,D
20201123,원/달러 환율,1114.2,D
20201123,원/엔 환율,1072.84,D
20201123,원/유로 환율,1321.33,D
20201124,원/달러 환율,1112.6,D
20201124,원/엔 환율,1064.49,D
20201124,원/유로 환율,1317.37,D
20201125,원/달러 환율,1111.2,D
20201125,원/엔 환율,1063.09,D
20201125,원/유로 환율,1321.49,D
20201126,원/달러 환율,1107.2,D
20201126,원/엔 환율,1060.28,D
20201126,원/유로 환율,1319.39,D
20201127,원/달러 환율,1105.8,D
20201127,원/엔 환율,1060.77,D
20201127,원/유로 환율,1317.12,D
20201130,원/달러 환율,1104.4,D
20201130,원/엔 환율,1061.57,D
20201130,원/유로 환율,1321.58,D
202012,기준금리,0.5,M
20201201,원/달러 환율,1104.9,D
20201201,원/엔 환율,1058.74,D
20201201,원/유로 환율,1318.31,D
20201202,원/달러 환율,1107.1,D
20201202,원/엔 환율,1061.3,D
20201202,원/유로 환율,1336.38,D
20201203,원/달러 환율,1103.3,D
20201203,원/엔 환율,1056.14,D
20201203,원/유로 환율,1336.54,D
20201204,원/달러 환율,1098.1,D
20201204,원/엔 환율,1057.34,D
20201204,원/유로 환율,1333.81,D
20201207,원/달러 환율,1086.6,D
20201207,원/엔 환율,1042.55,D
20201207,원/유로 환율,1318.15,D
20201208,원/달러 환율,1082.7,D
20201208,원/엔 환율,1041.01,D
20201208,원/유로 환율,1311.31,D
20201209,원/달러 환율,1084.4,D
20201209,원/엔 환율,1040.99,D
20201209,원/유로 환율,1313.15,D
20201210,원/달러 환율,1083.6,D
20201210,원/엔 환율,1039.08,D
20201210,원/유로 환율,1308.83,D
20201211,원/달러 환율,1086.2,D
20201211,원/엔 환율,1041.97,D
20201211,원/유로 환율,1318.81,D
20201214,원/달러 환율,1089.3,D
20201214,원/엔 환율,1047.45,D
20201214,원/유로 환율,1321.97,D
20201215,원/달러 환율,1090.8,D
20201215,원/엔 환율,1048.59,D
20201215,원/유로 환율,1324.94,D
20201216,원/달러 환율,1093.2,D
20201216,원/엔 환율,1054.45,D
20201216,원/유로 환율,1328.73,D
20201217,원/달러 환율,1092.2,D
20201217,원/엔 환율,1055.83,D
20201217,원/유로 환율,1332.16,D
